[4,9,16,21,26,36,5]
[7,14,15,19,28,31,6]
[6,20,23,31,33,41,6]
[1,13,19,26,27,30,2]
[7,8,13,23,26,42,2]
[1,7,15,19,20,24,3]
[2,13,14,25,34,36,5]
[3,11,25,28,33,41,7]
[9,25,30,31,35,42,4]
[4,6,19,26,31,36,0]
[11,12,23,33,35,37,4]
[2,5,11,18,24,36,6]
[10,20,25,26,30,31,7]
[4,29,31,33,34,41,5]
[7,22,27,30,37,41,1]
[1,26,33,34,37,40,5]
[5,19,25,28,29,42,8]
[2,17,22,23,26,38,9]
[1,14,18,29,33,34,5]
[8,12,18,19,37,38,5]
[3,14,15,30,31,38,8]
[4,19,24,28,36,38,8]
[3,10,14,30,33,39,0]
[1,13,28,29,36,41,9]
[19,23,33,34,35,37,5]
[11,16,23,25,34,35,8]
[2,11,17,19,27,32,3]
[2,15,21,27,33,37,8]
[11,19,21,31,32,33,5]
[4,9,13,15,23,42,8]
[5,9,12,20,26,37,7]
[6,12,20,24,35,38,8]
[3,9,10,24,29,34,8]
[7,9,20,27,28,36,9]
[7,8,10,18,23,38,3]
[7,11,16,24,28,30,3]
[3,8,21,25,31,42,2]
[14,16,21,23,27,41,2]
[5,11,17,18,24,27,4]
[6,16,20,27,38,41,8]
[9,17,18,30,35,38,3]
[7,10,24,27,31,36,6]
[1,7,8,9,33,38,3]
[9,11,27,33,41,42,9]
[4,5,23,34,36,40,4]
[7,12,13,16,25,27,4]
[3,27,28,33,35,41,8]
[1,20,23,28,39,40,9]
[3,10,11,26,39,42,1]
[17,22,24,32,34,41,0]
[13,17,22,23,28,42,2]
[1,4,10,11,20,32,0]
[14,16,18,20,26,33,7]
[8,14,17,20,29,34,2]
[7,22,25,27,29,39,0]
[1,2,6,8,20,23,5]
[7,11,12,15,29,38,6]
[3,19,25,28,37,42,1]
[3,15,28,30,36,42,3]
[3,13,14,15,27,28,5]
[8,22,24,26,37,40,2]
[3,13,17,27,35,42,4]
[3,11,14,19,28,29,1]
[2,3,8,16,17,38,2]
[8,13,17,25,29,42,7]
[6,20,29,30,31,32,3]
[7,9,11,27,28,37,8]
[3,4,5,28,35,39,9]
[3,13,14,22,24,34,2]
[10,12,14,15,23,26,7]
[3,4,8,19,35,38,3]
[9,10,22,27,28,40,6]
[4,10,19,22,32,40,7]
[11,13,14,20,22,25,4]
[11,13,16,23,27,31,5]
[11,16,27,30,34,38,8]
[20,21,23,26,34,42,0]
[1,4,20,26,41,42,4]
[5,7,22,31,36,38,3]
[5,14,18,24,30,41,4]
[1,4,11,15,35,40,6]
[6,8,9,13,24,26,6]
[3,11,13,18,23,33,8]
[4,17,19,20,26,36,7]
[19,22,23,25,30,41,4]
[3,13,17,36,38,39,8]
[3,25,27,34,36,38,8]
[9,15,17,27,28,41,4]
[11,15,24,27,37,40,3]
[2,12,24,26,29,38,8]
[7,11,21,30,33,35,0]
[10,11,12,19,26,35,6]
[4,9,13,24,26,28,0]
[2,17,23,32,38,42,9]
[7,10,17,21,29,34,1]
[10,12,15,23,27,30,7]
[3,4,7,8,19,36,3]
[2,7,16,17,28,39,6]
[1,13,28,29,30,34,7]
[1,4,8,20,31,42,1]
[2,3,8,13,39,42,3]
[8,11,13,20,31,36,8]
[25,26,30,36,38,42,5]
[3,23,29,35,39,40,8]
[4,7,16,24,36,40,1]
[2,6,19,30,34,42,5]
[7,8,22,26,36,39,0]
[3,10,15,19,33,41,3]
[6,8,14,21,26,31,5]
[7,8,34,37,41,42,1]
[15,19,24,35,39,42,9]
[30,31,33,34,40,42,6]
[1,5,12,19,33,34,4]
[17,20,21,23,27,32,2]
[12,21,25,27,28,37,0]
[9,17,21,30,32,42,5]
[4,8,16,32,34,38,1]
[7,9,23,35,40,41,6]
[4,11,19,20,23,34,4]
[5,6,7,10,17,20,9]
[2,17,29,32,33,40,4]
[15,17,30,37,39,42,3]
[5,11,18,20,21,34,4]
[4,10,15,26,37,39,7]
[5,7,33,37,39,41,2]
[13,19,31,36,37,40,3]
[3,15,19,27,28,33,7]
[6,16,24,26,27,38,1]
[10,17,20,29,34,39,0]
[1,17,20,22,29,34,3]
[17,20,28,31,39,41,6]
[1,6,12,14,19,32,7]
[7,21,23,24,28,41,4]
[7,9,11,12,20,36,1]
[6,7,27,35,38,39,5]
[9,16,20,29,30,32,6]
[6,10,20,27,38,39,9]
[3,8,19,22,25,33,7]
[2,15,19,20,27,36,8]
[5,7,9,21,27,29,7]
[2,11,30,31,38,41,1]
[12,13,17,20,27,29,5]
[3,8,22,30,36,38,7]
[4,8,10,11,38,41,6]
[8,17,19,31,37,41,3]
[14,27,28,30,32,33,1]
[2,8,15,31,33,34,7]
[1,12,21,26,31,34,9]
[4,9,10,37,39,41,0]
[15,22,32,34,35,41,4]
[7,18,31,32,38,41,8]
[10,23,29,37,38,39,9]
[5,12,14,17,37,41,5]
[3,6,12,21,22,23,0]
[4,20,21,27,30,39,4]
[2,3,4,21,24,29,7]
[4,23,29,33,34,40,5]
[11,14,18,26,28,39,0]
[1,8,15,16,20,38,6]
[11,25,33,34,38,40,4]
[11,13,20,25,31,39,5]
[10,16,22,28,38,41,5]
[4,8,9,18,22,32,5]
[3,8,12,23,35,41,3]
[1,6,12,13,23,24,0]
[4,15,20,28,34,37,6]
[3,7,24,25,39,42,3]
[1,4,5,13,17,30,7]
