[31,30,3,38,14,15,8]
[38,28,4,24,36,19,8]
[3,10,39,33,30,14,0]
[28,29,1,13,41,36,9]
[34,33,35,19,23,37,5]
[34,23,16,35,25,11,8]
[32,19,11,2,27,17,3]
[37,21,27,33,2,15,8]
[21,33,11,19,31,32,5]
[15,9,4,13,23,42,8]
[26,20,12,9,37,5,7]
[24,35,20,38,12,6,8]
[10,9,24,3,29,34,8]
[36,27,20,7,9,28,9]
[7,8,38,23,10,18,3]
[16,11,30,24,28,7,3]
[21,42,31,8,25,3,2]
[27,16,41,23,14,21,2]
[5,18,17,11,27,24,4]
[20,38,41,27,16,6,8]
[38,35,18,9,30,17,3]
[31,24,36,7,27,10,6]
[9,7,8,1,33,38,3]
[42,11,41,33,27,9,9]
[40,5,4,23,36,34,4]
[7,13,25,27,12,16,4]
[3,28,41,27,33,35,8]
[20,40,23,39,1,28,9]
[42,26,11,39,3,10,1]
[22,24,32,34,41,17,0]
[42,28,13,22,17,23,2]
[1,32,4,20,11,10,0]
[16,26,20,18,14,33,7]
[14,8,29,20,34,17,2]
[7,29,27,22,39,25,0]
[23,20,8,6,2,1,5]
[38,15,12,7,11,29,6]
[37,28,25,42,3,19,1]
[28,15,36,30,42,3,3]
[15,13,28,27,14,3,5]
[37,8,22,24,40,26,2]
[3,42,27,17,35,13,4]
[14,29,3,28,19,11,1]
[17,16,3,38,2,8,2]
[13,17,25,29,42,8,7]
[6,32,30,29,20,31,3]
[9,37,7,28,11,27,8]
[4,35,3,28,39,5,9]
[34,24,22,13,14,3,2]
[15,12,23,14,10,26,7]
[8,19,4,35,38,3,3]
[28,22,27,40,10,9,6]
[19,40,22,32,10,4,7]
[11,22,14,20,25,13,4]
[16,13,31,11,27,23,5]
[27,34,38,11,16,30,8]
[23,34,26,20,21,42,0]
[41,4,26,20,42,1,4]
[38,7,31,5,36,22,3]
[5,24,14,41,18,30,4]
[1,11,15,40,4,35,6]
[6,8,13,26,24,9,6]
[13,11,33,18,3,23,8]
[4,20,26,36,17,19,7]
[25,19,41,23,22,30,4]
[3,36,39,13,38,17,8]
[36,27,34,25,38,3,8]
[28,27,17,15,41,9,4]
[40,11,37,15,27,24,3]
[2,26,12,29,38,24,8]
[7,21,33,11,30,35,0]
[12,19,26,35,11,10,6]
[13,4,24,26,28,9,0]
[2,38,42,17,23,32,9]
[7,29,17,21,10,34,1]
[15,12,30,27,10,23,7]
[36,7,8,4,19,3,3]
[17,39,7,16,2,28,6]
[13,28,29,30,34,1,7]
[8,1,42,4,20,31,1]
[8,42,39,2,13,3,3]
[20,8,13,31,36,11,8]
[25,36,26,38,30,42,5]
[39,29,35,3,40,23,8]
[36,7,16,24,40,4,1]
[6,2,30,19,42,34,5]
[8,7,26,39,22,36,0]
[15,10,3,33,19,41,3]
[14,6,8,21,26,31,5]
[34,8,7,42,37,41,1]
[24,39,19,35,15,42,9]
[42,33,31,30,34,40,6]
[12,1,33,5,19,34,4]
[27,21,17,20,32,23,2]
[21,12,25,37,27,28,0]
[21,30,9,42,32,17,5]
[8,16,38,34,4,32,1]
[7,35,9,41,23,40,6]
[23,4,34,11,19,20,4]
[20,7,10,6,17,5,9]
[2,29,33,17,32,40,4]
